DIVISION,DATE,FIXTURE,HOME TEAM,AWAY TEAM,Team_Home,PPG_Home,Last8_Home,Team_Away,PPG_Away,Last8_Away
EPL,15/04/19,Watford - Arsenal,Watford,Arsenal,Watford,0.48815165876777256,0.47709923664122134,Arsenal,0.7393364928909953,0.6183206106870229
EPL,16/04/19,Brighton & Hove - Cardiff City,Brighton & Hove,Cardiff City,Brighton & Hove,0.2938388625592418,0.19083969465648853,Cardiff City,0.2085308056872038,0.1412213740458015
EPL,20/04/19,Manchester City - Tottenham,Manchester City,Tottenham,Manchester City,1.0,1.0,Tottenham,0.7677725118483413,0.3320610687022901
EPL,20/04/19,Bournemouth - Fulham,Bournemouth,Fulham,Bournemouth,0.37914691943127965,0.23664122137404578,Fulham,0.08530805687203792,0.0
EPL,20/04/19,Huddersfield - Watford,Huddersfield,Watford,Huddersfield,0.0,0.0,Watford,0.48815165876777256,0.47709923664122134
EPL,20/04/19,West Ham Utd - Leicester City,West Ham Utd,Leicester City,West Ham Utd,0.39336492890995267,0.28625954198473275,Leicester City,0.45971563981042657,0.5725190839694656
EPL,20/04/19,Wolverhampton - Brighton & Hove,Wolverhampton,Brighton & Hove,Wolverhampton,0.4786729857819906,0.28625954198473275,Brighton & Hove,0.2938388625592418,0.19083969465648853
EPL,20/04/19,Newcastle Utd - Southampton,Newcastle Utd,Southampton,Newcastle Utd,0.33649289099526075,0.47709923664122134,Southampton,0.3222748815165878,0.4274809160305344
EPL,21/04/19,Everton - Manchester Utd,Everton,Manchester Utd,Everton,0.44549763033175366,0.47709923664122134,Manchester Utd,0.7251184834123223,0.6183206106870229
EPL,21/04/19,Arsenal - Crystal Palace,Arsenal,Crystal Palace,Arsenal,0.7393364928909953,0.6183206106870229,Crystal Palace,0.35071090047393366,0.4274809160305344
EPL,21/04/19,Cardiff City - Liverpool,Cardiff City,Liverpool,Cardiff City,0.2085308056872038,0.1412213740458015,Liverpool,0.990521327014218,0.8091603053435115
EPL,22/04/19,Chelsea - Burnley,Chelsea,Burnley,Chelsea,0.7251184834123223,0.6183206106870229,Burnley,0.35071090047393366,0.4274809160305344
EPL,23/04/19,Tottenham - Brighton & Hove,Tottenham,Brighton & Hove,Tottenham,0.7677725118483413,0.3320610687022901,Brighton & Hove,0.2938388625592418,0.19083969465648853
EPL,23/04/19,Watford - Southampton,Watford,Southampton,Watford,0.48815165876777256,0.47709923664122134,Southampton,0.3222748815165878,0.4274809160305344
EPL,24/04/19,Wolverhampton - Arsenal,Wolverhampton,Arsenal,Wolverhampton,0.4786729857819906,0.28625954198473275,Arsenal,0.7393364928909953,0.6183206106870229
EPL,24/04/19,Manchester Utd - Manchester City,Manchester Utd,Manchester City,Manchester Utd,0.7251184834123223,0.6183206106870229,Manchester City,1.0,1.0
EPL,26/04/19,Liverpool - Huddersfield,Liverpool,Huddersfield,Liverpool,0.990521327014218,0.8091603053435115,Huddersfield,0.0,0.0
EPL,27/04/19,Tottenham - West Ham Utd,Tottenham,West Ham Utd,Tottenham,0.7677725118483413,0.3320610687022901,West Ham Utd,0.39336492890995267,0.28625954198473275
EPL,27/04/19,Crystal Palace - Everton,Crystal Palace,Everton,Crystal Palace,0.35071090047393366,0.4274809160305344,Everton,0.44549763033175366,0.47709923664122134
EPL,27/04/19,Fulham - Cardiff City,Fulham,Cardiff City,Fulham,0.08530805687203792,0.0,Cardiff City,0.2085308056872038,0.1412213740458015
EPL,27/04/19,Southampton - Bournemouth,Southampton,Bournemouth,Southampton,0.3222748815165878,0.4274809160305344,Bournemouth,0.37914691943127965,0.23664122137404578
EPL,27/04/19,Watford - Wolverhampton,Watford,Wolverhampton,Watford,0.48815165876777256,0.47709923664122134,Wolverhampton,0.4786729857819906,0.28625954198473275
EPL,27/04/19,Brighton & Hove - Newcastle Utd,Brighton & Hove,Newcastle Utd,Brighton & Hove,0.2938388625592418,0.19083969465648853,Newcastle Utd,0.33649289099526075,0.47709923664122134
EPL,28/04/19,Burnley - Manchester City,Burnley,Manchester City,Burnley,0.35071090047393366,0.4274809160305344,Manchester City,1.0,1.0
EPL,28/04/19,Manchester Utd - Chelsea,Manchester Utd,Chelsea,Manchester Utd,0.7251184834123223,0.6183206106870229,Chelsea,0.7251184834123223,0.6183206106870229
EPL,29/04/19,Leicester City - Arsenal,Leicester City,Arsenal,Leicester City,0.45971563981042657,0.5725190839694656,Arsenal,0.7393364928909953,0.6183206106870229
EPL,03/05/19,Everton - Burnley,Everton,Burnley,Everton,0.44549763033175366,0.47709923664122134,Burnley,0.35071090047393366,0.4274809160305344
EPL,04/05/19,Manchester City - Leicester City,Manchester City,Leicester City,Manchester City,1.0,1.0,Leicester City,0.45971563981042657,0.5725190839694656
EPL,04/05/19,Arsenal - Brighton & Hove,Arsenal,Brighton & Hove,Arsenal,0.7393364928909953,0.6183206106870229,Brighton & Hove,0.2938388625592418,0.19083969465648853
EPL,04/05/19,Chelsea - Watford,Chelsea,Watford,Chelsea,0.7251184834123223,0.6183206106870229,Watford,0.48815165876777256,0.47709923664122134
EPL,04/05/19,West Ham Utd - Southampton,West Ham Utd,Southampton,West Ham Utd,0.39336492890995267,0.28625954198473275,Southampton,0.3222748815165878,0.4274809160305344
EPL,04/05/19,Wolverhampton - Fulham,Wolverhampton,Fulham,Wolverhampton,0.4786729857819906,0.28625954198473275,Fulham,0.08530805687203792,0.0
EPL,04/05/19,Cardiff City - Crystal Palace,Cardiff City,Crystal Palace,Cardiff City,0.2085308056872038,0.1412213740458015,Crystal Palace,0.35071090047393366,0.4274809160305344
EPL,05/05/19,Huddersfield - Manchester Utd,Huddersfield,Manchester Utd,Huddersfield,0.0,0.0,Manchester Utd,0.7251184834123223,0.6183206106870229
EPL,05/05/19,Newcastle Utd - Liverpool,Newcastle Utd,Liverpool,Newcastle Utd,0.33649289099526075,0.47709923664122134,Liverpool,0.990521327014218,0.8091603053435115
EPL,06/05/19,Bournemouth - Tottenham,Bournemouth,Tottenham,Bournemouth,0.37914691943127965,0.23664122137404578,Tottenham,0.7677725118483413,0.3320610687022901
EPL,12/05/19,Brighton & Hove - Manchester City,Brighton & Hove,Manchester City,Brighton & Hove,0.2938388625592418,0.19083969465648853,Manchester City,1.0,1.0
EPL,12/05/19,Burnley - Arsenal,Burnley,Arsenal,Burnley,0.35071090047393366,0.4274809160305344,Arsenal,0.7393364928909953,0.6183206106870229
EPL,12/05/19,Crystal Palace - Bournemouth,Crystal Palace,Bournemouth,Crystal Palace,0.35071090047393366,0.4274809160305344,Bournemouth,0.37914691943127965,0.23664122137404578
EPL,12/05/19,Fulham - Newcastle Utd,Fulham,Newcastle Utd,Fulham,0.08530805687203792,0.0,Newcastle Utd,0.33649289099526075,0.47709923664122134
EPL,12/05/19,Leicester City - Chelsea,Leicester City,Chelsea,Leicester City,0.45971563981042657,0.5725190839694656,Chelsea,0.7251184834123223,0.6183206106870229
EPL,12/05/19,Liverpool - Wolverhampton,Liverpool,Wolverhampton,Liverpool,0.990521327014218,0.8091603053435115,Wolverhampton,0.4786729857819906,0.28625954198473275
EPL,12/05/19,Manchester Utd - Cardiff City,Manchester Utd,Cardiff City,Manchester Utd,0.7251184834123223,0.6183206106870229,Cardiff City,0.2085308056872038,0.1412213740458015
EPL,12/05/19,Southampton - Huddersfield,Southampton,Huddersfield,Southampton,0.3222748815165878,0.4274809160305344,Huddersfield,0.0,0.0
EPL,12/05/19,Tottenham - Everton,Tottenham,Everton,Tottenham,0.7677725118483413,0.3320610687022901,Everton,0.44549763033175366,0.47709923664122134
EPL,12/05/19,Watford - West Ham Utd,Watford,West Ham Utd,Watford,0.48815165876777256,0.47709923664122134,West Ham Utd,0.39336492890995267,0.28625954198473275
EPL,19/04/19,Bristol City - Reading,Bristol City,Reading,Bristol City,0.6666666666666667,0.36708860759493667,Reading,0.2753623188405797,0.47257383966244726
EPL,19/04/19,Sheffield Utd - Nottm Forest,Sheffield Utd,Nottm Forest,Sheffield Utd,0.8768115942028986,0.5274261603375527,Nottm Forest,0.5000000000000001,0.10548523206751054
EPL,19/04/19,Millwall - Brentford,Millwall,Brentford,Millwall,0.2536231884057971,0.1561181434599156,Brentford,0.44927536231884063,0.1561181434599156
EPL,19/04/19,Birmingham City - Derby County,Birmingham City,Derby County,Birmingham City,0.46376811594202905,0.0,Derby County,0.6304347826086957,0.36708860759493667
EPL,19/04/19,Bolton - Aston Villa,Bolton,Aston Villa,Bolton,0.06521739130434781,0.05063291139240506,Aston Villa,0.7028985507246376,1.0
EPL,19/04/19,Leeds Utd - Wigan Athletic,Leeds Utd,Wigan Athletic,Leeds Utd,0.9275362318840579,0.6835443037974683,Wigan Athletic,0.23913043478260868,0.05063291139240506
EPL,19/04/19,Middlesbrough - Stoke City,Middlesbrough,Stoke City,Middlesbrough,0.6159420289855073,0.05063291139240506,Stoke City,0.41304347826086957,0.3164556962025316
EPL,19/04/19,Preston - Ipswich Town,Preston,Ipswich Town,Preston,0.5000000000000001,0.26160337552742613,Ipswich Town,0.0,0.10548523206751054
EPL,19/04/19,QP Rangers - Blackburn,QP Rangers,Blackburn,QP Rangers,0.34057971014492744,0.05063291139240506,Blackburn,0.427536231884058,0.21097046413502105
EPL,19/04/19,Swansea City - Rotherham,Swansea City,Rotherham,Swansea City,0.5072463768115942,0.36708860759493667,Rotherham,0.20289855072463764,0.26160337552742613
EPL,19/04/19,West Bromwich - Hull City,West Bromwich,Hull City,West Bromwich,0.7753623188405796,0.42194092827004215,Hull City,0.5507246376811594,0.42194092827004215
EPL,19/04/19,Norwich City - Sheffield Wed,Norwich City,Sheffield Wed,Norwich City,1.0,0.7890295358649789,Sheffield Wed,0.5289855072463767,0.36708860759493667
EPL,22/04/19,Aston Villa - Millwall,Aston Villa,Millwall,Aston Villa,0.7028985507246376,1.0,Millwall,0.2536231884057971,0.1561181434599156
EPL,22/04/19,Blackburn - Bolton,Blackburn,Bolton,Blackburn,0.427536231884058,0.21097046413502105,Bolton,0.06521739130434781,0.05063291139240506
EPL,22/04/19,Derby County - QP Rangers,Derby County,QP Rangers,Derby County,0.6304347826086957,0.36708860759493667,QP Rangers,0.34057971014492744,0.05063291139240506
EPL,22/04/19,Hull City - Sheffield Utd,Hull City,Sheffield Utd,Hull City,0.5507246376811594,0.42194092827004215,Sheffield Utd,0.8768115942028986,0.5274261603375527
EPL,22/04/19,Ipswich Town - Swansea City,Ipswich Town,Swansea City,Ipswich Town,0.0,0.10548523206751054,Swansea City,0.5072463768115942,0.36708860759493667
